,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction,TF-IDF Score
56,912510632796311552,912510632796311552,Strange Rice,StrangeRiceTwit,1397590167846854660,1397590167846854660,skaarl dad miss gaw aofash ina amelia httpstcossqnprxslz,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 549)	0.6676044023725619
  (0, 184)	0.744516193197149"
57,1380205229224919041,1380205229224919041,Amber Lynch,AmberLy94281628,1397590167758598146,1397590167758598146,finswapfi 💥💥our airdrop activ end may havnt attend it pleas quick join it💥💥 fantomfdn finswapfi http…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 678)	0.3871980690565894
  (0, 653)	0.3374169886250623
  (0, 530)	0.3886014547659275
  (0, 437)	0.5665328611490112
  (0, 408)	0.3648320694525214
  (0, 247)	0.3621524800372817"
58,2210075751,2210075751,abogun governor,sucre_jims,1397590167741992966,1397590167741992966,coinburp commun grown coloss ten thousand burper across world 🚀 know i…,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 976)	0.47114402345254414
  (0, 468)	0.32466449241971646
  (0, 355)	0.5851163234082711
  (0, 2)	0.5746783140227096"
59,490810572,490810572,Barb Bengela,BarbBengela,1397590167842693120,1397590167842693120,hillaryclinton work continu httpstcoylrkhikkru,2021-05-26 16:27:16,Null,Null,Null,0,0,Null,0,"  (0, 975)	1.0"
60,1186030033493774336,1186030033493774336,lakey,HEARTOFABG,1397590172070514688,1397590172070514688,ariana’ heel wed beauti wonder they’r custom though like need,2021-05-26 16:27:17,Null,Null,Null,0,0,Null,0,"  (0, 972)	0.4849394702941602
  (0, 861)	0.4685276379425995
  (0, 581)	0.4742557394750093
  (0, 492)	0.23632232370862868
  (0, 66)	0.5143430912598261"
61,2633813916,2633813916,cecilia BLM,ceciliavfx,1397590171936346113,1397590171936346113,whalemeta talkingpictur astrothsknot dpfunk trump nonplan leav state that sloppi typic incompet,2021-05-26 16:27:17,1392958722062827521,1392958722062827521,WhaleMeta,0,0,Null,0,"  (0, 849)	0.4488366078072119
  (0, 804)	0.6571108811591188
  (0, 480)	0.6055996939847325"
62,1308970391105343488,1308970391105343488,karlie k! ♡,karliebaby_k,1397590171965562885,1397590171965562885,verucatyn know deep throating🥵🍆 httpstcofubwgajp,2021-05-26 16:27:17,Null,Null,Null,0,0,Null,0,"  (0, 468)	0.5144185408935303
  (0, 198)	0.8575392497052081"
63,956033107,956033107,Mari,srtaladonne,1397590172015935494,1397590172015935494,motivatedjad anyway 🥵 httpstcooiblzgd,2021-05-26 16:27:17,Null,Null,Null,0,0,Null,0,"  (0, 32)	1.0"
64,2599814137,2599814137,SmithV,AnhBoy898,1397590172007428096,1397590172007428096,airdropstario 💧 memex airdrop💧 🏆 task ➕ m memex 👨‍👩‍👧 referr ➕ million memex …,2021-05-26 16:27:17,Null,Null,Null,0,0,Null,0,
65,1068975559,1068975559,⁷,insidepoesie,1397590171944685568,1397590171944685568,caus iii’m star tonight 💛 listeningbutterpay httpstcossknd,2021-05-26 16:27:17,Null,Null,Null,0,0,Null,0,"  (0, 883)	0.5643546547597682
  (0, 803)	0.6716876860075537
  (0, 129)	0.4799369501474134"
